,city,Cloudiness,Country,Date,Humidity,lat,lon,Max Temp,Wind Speed
375,Haines Junction,83,CA,1570268907,91,60.75,-137.51,-3.05,1.92
376,Kenai,1,US,1570268909,49,60.55,-151.26,9.0,4.1
377,Mtsamboro,20,YT,1570268912,70,-12.7,45.07,30.0,2.1
378,Nicolas Bravo,35,MX,1570268913,86,24.39,-104.74,10.12,1.17
379,Basco,75,US,1570268916,87,40.33,-91.2,12.22,5.1
380,Kamiiso,75,JP,1570268918,67,41.82,140.65,16.0,4.1
381,Bubaque,100,GW,1570268920,78,11.28,-15.83,26.58,2.15
382,Octeville,40,FR,1570268921,87,49.63,-1.64,17.78,4.6
383,Santa Isabel do Rio Negro,90,BR,1570268923,95,-0.41,-65.02,22.18,0.948
384,Grand Gaube,40,MU,1570268925,69,-20.01,57.66,27.0,5.1
385,Nelson Bay,44,AU,1570268927,87,-32.72,152.14,17.22,2.6
386,Dickinson,90,US,1570268928,100,46.88,-102.79,8.0,6.7
387,Hambantota,75,LK,1570268931,79,6.12,81.12,31.0,3.6
388,Pringsewu,81,ID,1570268933,70,-5.36,104.98,26.51,3.23
389,Kandrian,100,PG,1570268935,95,-6.21,149.55,23.47,0.985
390,Sobolevo,100,RU,1570268937,73,54.43,31.9,7.04,2.94
391,Xianshuigu,0,CN,1570268939,27,38.98,117.38,17.0,2.0
392,Abu Dhabi,0,AE,1570268940,26,24.47,54.37,39.0,3.1
393,Zwevegem,20,BE,1570268942,81,50.81,3.34,11.67,4.1
394,Hobyo,5,SO,1570268944,52,5.35,48.53,31.37,6.84
395,Rio Grande,100,BR,1570268918,96,-32.03,-52.1,16.33,4.49
396,Taoudenni,0,ML,1570268948,14,22.68,-3.98,31.51,7.07
397,Dera Bugti,2,PK,1570268949,31,29.03,69.15,30.97,4.09
398,Saint-Pierre,75,FR,1570268951,87,48.95,4.24,15.0,3.6
399,Katsuura,20,JP,1570268953,57,33.93,134.5,25.0,3.1
400,Arys,34,KZ,1570268955,31,42.43,68.8,24.0,2.0
401,Belem de Sao Francisco,12,BR,1570268957,87,-8.75,-38.97,19.68,5.41
402,Salalah,40,OM,1570268959,70,17.01,54.1,29.0,8.2
403,Socorro,1,US,1570268961,88,31.65,-106.3,21.67,2.66
404,Porkhov,90,RU,1570268962,93,57.77,29.55,3.0,4.0
405,Atherton,40,AU,1570268964,60,-17.27,145.48,23.0,5.1
406,Kiama,75,AU,1570268966,87,-34.67,150.86,16.67,0.39
407,Rjukan,0,NO,1570268968,88,59.88,8.59,-3.33,0.52
408,Nyagan,100,RU,1570268970,83,62.14,65.43,11.76,3.94
409,Nanakuli,75,US,1570268972,78,21.39,-158.15,27.0,1.5
410,Jacobina,53,BR,1570268974,85,-11.19,-40.51,18.24,3.35
411,Bonfim,0,BR,1570268976,82,-20.33,-44.24,19.0,4.6
412,Macau,0,BR,1570268978,78,-5.11,-36.64,22.5,6.6
413,Ewa Beach,75,US,1570268980,78,21.32,-158.01,27.0,1.5
414,San Quintin,100,PH,1570268982,81,17.54,120.52,27.1,0.92
415,Saldanha,0,PT,1570268984,68,41.42,-6.55,16.35,1.44
416,Dzhebariki-Khaya,0,RU,1570268986,75,62.22,135.8,-5.79,1.186
417,Los Andes,0,CL,1570268988,76,-32.83,-70.6,7.78,1.46
418,Sao Jose de Ribamar,20,BR,1570268990,94,-2.56,-44.05,25.0,2.6
419,Padang,3,ID,1570268992,82,-0.92,100.36,26.11,6.86
420,Calvia,0,ES,1570268994,69,39.57,2.51,26.11,1.5
421,Presidencia Roque Saenz Pena,90,AR,1570268996,100,-26.79,-60.44,14.0,3.6
422,Grants,1,US,1570268998,71,35.15,-107.85,10.0,2.1
423,Melioratorov,58,RU,1570269000,40,57.21,65.61,21.0,6.0
424,Ojinaga,1,US,1570269002,50,29.56,-104.41,25.0,2.1
425,Moree,66,AU,1570269004,34,-29.46,149.84,27.0,3.6
426,Harper,1,US,1570269006,82,30.3,-99.24,21.11,1.5
427,Jijiga,0,ET,1570269008,60,9.35,42.8,21.03,1.07
428,Gallup,1,US,1570269010,70,35.53,-108.74,10.56,3.53
429,Ust-Kut,100,RU,1570269012,94,56.78,105.75,3.65,4.57
430,Bhojudih,83,IN,1570269014,68,23.64,86.44,29.84,2.24
431,Benguela,49,AO,1570269015,85,-12.58,13.4,22.66,4.665
432,Sola,60,TZ,1570269017,34,-3.17,33.8,28.87,3.01
433,Dingle,89,PH,1570269019,86,11.0,122.67,27.1,1.07
434,Priyutovo,23,RU,1570269021,28,53.89,53.93,16.53,8.58
435,Santa Maria del Oro,95,MX,1570268904,77,25.95,-105.37,17.57,0.79
436,Westport,1,US,1570268888,75,41.14,-73.36,8.89,3.6
437,Port Blair,94,IN,1570269027,64,11.67,92.75,28.32,1.62
438,Lezajsk,75,PL,1570269028,81,50.26,22.42,11.11,3.1
439,Harduaganj,0,IN,1570269030,32,27.95,78.17,33.24,3.34
440,Geraldton,40,CA,1570269032,95,49.72,-86.95,0.0,2.1
441,Quincy,20,US,1570269034,50,47.23,-119.85,11.0,2.6
442,Golaghat,99,IN,1570269037,68,26.51,93.97,29.22,0.81
443,Nikolayevskaya,0,RU,1570269039,30,43.22,44.21,28.0,6.0
444,Olinda,0,AU,1570269041,68,-37.84,145.39,19.44,3.1
445,Batagay,49,RU,1570269043,60,67.65,134.64,-6.39,1.63
446,Polunochnoye,100,RU,1570269045,84,60.87,60.43,13.52,2.71
447,Dalbandin,62,PK,1570269047,25,28.9,64.41,31.28,6.6
448,Saint-Francois,90,FR,1570269049,77,46.42,3.91,15.0,3.6
449,Luebo,100,CD,1570269051,51,-5.35,21.42,31.52,0.99
450,Kedrovyy,75,RU,1570269053,87,56.17,91.82,7.0,5.0
451,Pochutla,55,MX,1570269055,77,15.74,-96.47,27.1,2.224
452,Burley,1,US,1570269057,74,42.54,-113.79,3.0,1.5
453,Leh,100,IN,1570269059,23,34.16,77.58,5.56,1.463
454,Vitim,86,RU,1570269061,81,59.44,112.57,5.93,3.65
455,Santa Rosa,0,AR,1570269063,42,-36.62,-64.29,6.62,3.036
456,Pisco,90,PE,1570269065,87,-13.71,-76.2,15.0,1.5
457,Nouakchott,9,MR,1570269067,88,18.08,-15.98,26.0,3.1
458,Nishihara,20,JP,1570269069,65,35.74,139.53,28.89,5.7
459,Itoman,20,JP,1570269071,69,26.12,127.67,26.0,6.7
460,Port Macquarie,90,AU,1570269073,77,-31.43,152.91,17.22,3.1
461,Coihaique,20,CL,1570269075,75,-45.58,-72.07,5.0,2.1
462,Abancay,70,PE,1570269077,87,-13.64,-72.88,8.49,0.87
463,Porto Walter,62,BR,1570269078,81,-8.27,-72.74,22.58,1.12
464,Dunedin,3,NZ,1570269013,62,-45.87,170.5,7.78,4.92
465,Whitecourt,100,CA,1570269082,95,54.14,-115.68,3.68,6.61
466,Saravan,20,AM,1570269084,34,39.72,45.65,26.0,2.1
467,Amapa,100,HN,1570269086,94,15.09,-87.97,24.44,1.14
468,Miandrivazo,2,MG,1570269088,27,-19.53,45.46,36.74,2.26
469,Rio Gallegos,0,AR,1570269090,80,-51.62,-69.22,0.0,4.6
470,Buenaventura,99,CO,1570269091,84,3.89,-77.07,25.62,4.54
471,Pedregulho,0,BR,1570269093,68,-20.25,-47.48,19.06,5.54
472,Mokhsogollokh,100,RU,1570269095,81,61.4,128.95,-1.9,1.34
473,Norton,1,US,1570269098,80,41.97,-71.19,5.56,2.12
474,Kruisfontein,0,ZA,1570269099,38,-34.0,24.73,23.37,5.34
475,Kahului,1,US,1570269101,73,20.89,-156.47,25.0,6.2
476,Gardez,47,AF,1570269104,12,33.6,69.22,18.41,7.35
477,Rocky Mount,40,US,1570269106,72,35.94,-77.8,19.0,3.1
478,Gazanjyk,0,TM,1570269108,13,39.24,55.52,26.22,6.02
479,Dudinka,75,RU,1570269110,80,69.41,86.18,2.0,2.0
480,Karratha,0,AU,1570269112,18,-20.74,116.85,32.53,6.94
481,San Buenaventura,0,MX,1570269114,68,27.06,-101.55,23.89,1.79
482,Belawan,19,ID,1570269116,62,-0.59,114.46,30.01,0.71
483,Sayyan,0,YE,1570268855,18,15.17,44.32,29.19,5.67
484,Niteroi,90,BR,1570269120,100,-29.95,-51.16,20.56,2.6
485,Ngunguru,67,NZ,1570269122,89,-35.62,174.5,11.67,3.58
486,Lethem,14,GY,1570269123,81,3.38,-59.8,24.22,3.382
487,Plettenberg Bay,0,ZA,1570269125,35,-34.05,23.37,25.66,1.79
488,Kabompo,0,ZM,1570269127,27,-13.6,24.21,31.99,5.11
489,Douglas,90,US,1570269129,93,58.28,-134.39,9.44,5.1
490,Coronado,85,PA,1570269130,90,8.53,-79.9,25.56,1.79
491,Zonguldak,75,TR,1570269132,57,41.25,31.83,24.0,3.6
492,Toora-Khem,94,RU,1570269134,43,52.47,96.11,8.04,2.28
493,Tuskegee,1,US,1570269136,73,32.42,-85.69,25.0,1.864
494,Kommunar,90,RU,1570269138,69,59.62,30.39,4.44,5.0
495,Terrasini,40,IT,1570269140,57,38.15,13.08,25.0,4.6
496,Kamenka,47,MD,1570269141,52,48.03,28.7,12.42,2.41
497,Stephenville,90,CA,1570269022,86,48.55,-58.59,3.0,1.0
498,Sisophon,100,KH,1570269145,70,13.59,102.97,29.85,1.26
499,Synya,100,RU,1570269147,99,65.37,58.04,4.99,1.892
